name	electrode_name	type	units
ch341	e341	n/a	V
ch342	e342	n/a	V
ch343	e343	n/a	V
ch344	e344	n/a	V
ch345	e345	n/a	V
ch346	e346	n/a	V
ch347	e347	n/a	V
ch348	e348	n/a	V
ch349	e349	n/a	V
ch350	e350	n/a	V
ch351	e351	n/a	V
ch352	e352	n/a	V
ch353	e353	n/a	V
ch354	e354	n/a	V
ch355	e355	n/a	V
ch356	e356	n/a	V
ch357	e357	n/a	V
ch358	e358	n/a	V
ch359	e359	n/a	V
ch360	e360	n/a	V
ch361	e361	n/a	V
ch362	e362	n/a	V
ch363	e363	n/a	V
ch364	e364	n/a	V
ch365	e365	n/a	V
ch366	e366	n/a	V
ch367	e367	n/a	V
ch368	e368	n/a	V
ch369	e369	n/a	V
ch370	e370	n/a	V
ch371	e371	n/a	V
ch372	e372	n/a	V
ch373	e373	n/a	V
ch374	e374	n/a	V
ch375	e375	n/a	V
ch376	e376	n/a	V
ch377	e377	n/a	V
ch378	e378	n/a	V
ch379	e379	n/a	V
ch380	e380	n/a	V
ch381	e381	n/a	V
ch382	e382	n/a	V
ch383	e383	n/a	V
ch384	e384	n/a	V
ch385	e385	n/a	V
ch386	e386	n/a	V
ch387	e387	n/a	V
ch388	e388	n/a	V
ch389	e389	n/a	V
ch390	e390	n/a	V
ch391	e391	n/a	V
ch392	e392	n/a	V
ch393	e393	n/a	V
ch394	e394	n/a	V
ch395	e395	n/a	V
ch396	e396	n/a	V
ch397	e397	n/a	V
ch398	e398	n/a	V
ch399	e399	n/a	V
ch400	e400	n/a	V
ch401	e401	n/a	V
ch402	e402	n/a	V
ch403	e403	n/a	V
ch404	e404	n/a	V
ch405	e405	n/a	V
ch406	e406	n/a	V
ch407	e407	n/a	V
ch408	e408	n/a	V
ch409	e409	n/a	V
ch410	e410	n/a	V
ch411	e411	n/a	V
ch412	e412	n/a	V
ch413	e413	n/a	V
ch414	e414	n/a	V
ch415	e415	n/a	V
ch416	e416	n/a	V
ch417	e417	n/a	V
ch418	e418	n/a	V
ch419	e419	n/a	V
ch420	e420	n/a	V
ch421	e421	n/a	V
ch422	e422	n/a	V
ch423	e423	n/a	V
ch424	e424	n/a	V
ch425	e425	n/a	V
ch426	e426	n/a	V
ch427	e427	n/a	V
ch428	e428	n/a	V
ch429	e429	n/a	V
ch430	e430	n/a	V
ch431	e431	n/a	V
ch432	e432	n/a	V
ch433	e433	n/a	V
ch434	e434	n/a	V
ch435	e435	n/a	V
ch436	e436	n/a	V
ch437	e437	n/a	V
ch438	e438	n/a	V
ch439	e439	n/a	V
ch440	e440	n/a	V
ch441	e441	n/a	V
ch442	e442	n/a	V
ch443	e443	n/a	V
ch444	e444	n/a	V
ch445	e445	n/a	V
