onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes
2479.81459	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2481.81458	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2483.81458	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2485.81458	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2487.81457	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2489.81457	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2491.81456	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2493.81456	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2495.81456	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2497.81455	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2499.81455	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2501.81455	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2503.81454	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2505.81454	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2507.81453	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2509.81453	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2511.81453	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2513.81452	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2515.81452	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2517.81451	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2519.81451	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2521.81451	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2523.8145	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2525.8145	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2527.8145	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2529.81449	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2531.81449	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2533.81448	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2535.81448	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2537.81448	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2539.81447	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2541.81447	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2543.81446	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2545.81446	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2547.81446	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2549.81445	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2551.81445	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2553.81445	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2555.81444	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2557.81444	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2559.81443	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2561.81443	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2563.81443	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2565.81442	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2567.81442	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2569.81441	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2571.81441	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2573.81441	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2575.8144	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2621.54177	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2623.54177	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2625.54176	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2627.54176	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2629.54176	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2631.54175	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2633.54175	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2635.54175	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2637.54174	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2639.54174	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2641.54173	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2643.54173	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2645.54173	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2647.54172	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2649.54172	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2651.54172	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2653.54171	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2655.54171	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2657.5417	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2659.5417	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2661.5417	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2663.54169	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2665.54169	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2667.54168	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2669.54168	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2671.54168	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2673.54167	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2675.54167	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2677.54167	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2679.54166	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2681.54166	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2683.54165	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2685.54165	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2687.54165	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2689.54164	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2691.54164	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2693.54163	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2695.54163	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2697.54163	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2699.54162	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2701.54162	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2703.54162	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2705.54161	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2707.54161	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2709.5416	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
2711.5416	2.0	trials	1.0	2.0	75.0	biphasic	2.0	100.0	1.0	10.0	50.0	16r,1b	16.0	1.0	bipolar	
